City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
286,Labuhan,ID,84.54,clear sky,-6.8844,112.2051,PT PPI Lamongan Tambak C
287,Turukhansk,RU,76.68,scattered clouds,65.8167,87.9833,"ООО ""Туруханская пушнина"""
289,Baiao,BR,72.39,scattered clouds,-2.7906,-49.6717,Hotel Eurosono
294,Filadelfia,US,72.75,clear sky,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
295,Itoman,JP,80.62,shower rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
296,Champerico,GT,82.72,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
298,Sabha,LY,76.32,clear sky,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
299,Bowen,AU,78.53,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
303,Sao Felix Do Xingu,BR,70.99,broken clouds,-6.6447,-51.995,Rio Xingu Camping
306,Ust-Nera,RU,69.69,overcast clouds,64.5667,143.2,Hotel Ust-Nera
307,Vanimo,PG,77.05,heavy intensity rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
308,Ruidoso,US,64.9,clear sky,33.3317,-105.673,Inn of the Mountain Gods
310,Erenhot,CN,81.73,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
312,Talnakh,RU,66.81,light rain,69.4865,88.3972,Talnakh Hotel
314,Celestun,MX,81.46,overcast clouds,20.8667,-90.4,Posada Lilia
316,Jinxiang,CN,79.7,overcast clouds,27.4327,120.6062,Wolong Village
320,Yuci,CN,80.35,few clouds,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
321,Xining,CN,78.66,clear sky,36.6167,101.7667,Super Leisure Hotel
323,Tarauaca,BR,70.93,few clouds,-8.1614,-70.7656,Flat Temporada
324,Tocopilla,CL,63.1,broken clouds,-22.092,-70.1979,Hotel Galvarino
326,Nola,IT,76.26,clear sky,40.922,14.5329,Pamaran Hotel
332,Camacha,PT,68.76,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
333,Kisangani,CD,70.75,broken clouds,0.5167,25.2,Grand Ramela Hotel
335,Pedernales,DO,81.72,clear sky,18.0384,-71.744,Hotel Costa Marina
336,Conceicao Do Araguaia,BR,75.33,clear sky,-8.2578,-49.2647,Tarumã Tropical Hotel
338,Warrington,GB,62.28,broken clouds,53.3925,-2.5802,Patten Arms Hotel
339,Winnipeg,CA,77.02,clear sky,49.8844,-97.147,"Humphry Inn & Suites, Downtown Winnipeg"
340,Lompoc,US,71.56,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
