City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
341,Mayumba,GA,-3.432,10.6554,68.45,88,8,1.59,clear sky
342,Half Moon Bay,US,37.4636,-122.4286,78.12,77,1,1.01,clear sky
343,Ca Mau,VN,9.1769,105.15,88.83,61,94,12.03,overcast clouds
344,Ponta Do Sol,PT,32.6667,-17.1,72.23,76,1,6.24,clear sky
345,Victoria Point,AU,-27.5833,153.3,74.17,53,0,8.01,clear sky
346,Mpulungu,ZM,-8.7623,31.1141,68.52,55,19,15.59,few clouds
347,Nador,MA,35.174,-2.9287,77.07,94,0,1.14,clear sky
348,Lata,PT,40.1629,-8.3327,60.82,98,45,2.53,scattered clouds
349,Kotri,PK,25.366,68.3122,85.44,69,100,19.57,overcast clouds
350,Alice Springs,AU,-23.7,133.8833,63.95,27,49,13.8,scattered clouds
351,Sao Joao Da Barra,BR,-21.6403,-41.0511,67.17,70,0,7.2,clear sky
352,Yulara,AU,-25.2406,130.9889,64.8,29,93,13.4,overcast clouds
353,Nishihara,JP,26.1842,127.7558,82.06,94,75,35.68,shower rain
354,San Quintin,MX,30.4833,-115.95,69.51,83,83,9.33,broken clouds
355,Ahipara,NZ,-35.1667,173.1667,59.27,61,1,4.88,clear sky
356,Meulaboh,ID,4.1363,96.1285,82.69,71,94,2.89,overcast clouds
357,Maracas,BR,-13.4411,-40.4308,55.54,84,78,6.87,broken clouds
358,Mata,PT,40.683,-7.4592,50.76,94,45,2.57,scattered clouds
359,Mackenzie,CA,55.2999,-123.1698,62.82,63,1,8.05,clear sky
360,Kangaatsiaq,GL,68.3065,-53.4641,38.82,97,100,3.15,moderate rain
361,Yar-Sale,RU,66.8333,70.8333,56.5,71,7,8.08,clear sky
362,Geraldton,AU,-28.7667,114.6,61.21,88,90,8.05,overcast clouds
363,Novorzhev,RU,57.0294,29.3338,51.89,80,13,2.04,few clouds
364,Markova,UA,48.6758,24.4138,60.01,86,98,1.68,overcast clouds
365,Sao Domingos,BR,-13.3983,-46.3183,67.19,48,3,10.78,clear sky
366,Concordia,AR,-31.393,-58.0209,62.78,75,0,7.09,clear sky
367,Neiafu,TO,-18.65,-173.9833,83.08,78,75,10.36,broken clouds
368,La Ronge,CA,55.1001,-105.2842,61.05,72,12,13.0,few clouds
369,Port Hedland,AU,-20.3167,118.5667,80.65,22,2,14.97,clear sky
370,Kenai,US,60.5544,-151.2583,64.02,81,90,10.36,overcast clouds
371,Kodinar,IN,20.7903,70.7031,83.64,80,96,17.58,overcast clouds
372,Hualmay,PE,-11.0964,-77.6139,62.6,85,31,9.26,scattered clouds
373,Upington,ZA,-28.4478,21.2561,32.38,59,0,4.61,clear sky
374,Tiksi,RU,71.6872,128.8694,45.77,80,58,9.57,broken clouds
375,Kulhudhuffushi,MV,6.6221,73.07,81.66,78,99,12.33,overcast clouds
376,Fairlie,GB,55.756,-4.8556,59.4,88,52,3.0,broken clouds
377,Hamilton,US,39.1834,-84.5333,74.37,79,1,0.0,clear sky
378,Requena,ES,39.4883,-1.1004,68.13,30,0,5.53,clear sky
379,Kaitangata,NZ,-46.2817,169.8464,53.92,60,15,6.53,few clouds
380,Matadi,CD,-5.8167,13.45,67.68,94,34,2.35,scattered clouds
381,Chandbali,IN,20.7833,86.7667,87.48,66,93,8.93,overcast clouds
382,Khovu-Aksy,RU,51.1333,93.6,72.18,56,100,4.43,overcast clouds
383,Weatherford,US,32.7593,-97.7972,86.59,68,0,15.17,clear sky
384,Brownsville,US,25.9018,-97.4975,82.9,82,1,7.0,clear sky
385,San Jose,US,37.3394,-121.895,81.7,59,1,3.0,clear sky
386,Sorland,NO,67.667,12.6934,52.3,97,100,19.62,overcast clouds
387,Pangai,TO,-19.8,-174.35,80.71,78,20,8.05,few clouds
388,Nakambala,ZM,-15.8324,27.7799,57.07,74,69,13.56,broken clouds
