City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,Richards Bay,-28.783,32.0377,53.91,66,0,7.96,ZA,2021-07-20 03:31:12
203,Gloucester,51.8657,-2.2431,69.66,79,0,2.82,GB,2021-07-20 03:30:00
204,Lagoa,39.05,-27.9833,69.13,89,99,28.68,PT,2021-07-20 03:31:14
205,Bambous Virieux,-20.3428,57.7575,70.21,73,40,16.11,MU,2021-07-20 03:31:15
206,Jatai,-17.8814,-51.7144,48.92,26,0,5.12,BR,2021-07-20 03:31:16
207,Novikovo,51.1537,37.8879,73.49,77,83,4.59,RU,2021-07-20 03:31:16
208,San Lorenzo,-25.3333,-57.5333,41.94,86,98,0.0,PY,2021-07-20 03:31:18
209,Buraydah,26.326,43.975,86.45,12,8,7.09,SA,2021-07-20 03:31:18
210,Nha Trang,12.25,109.1833,89.6,58,96,4.5,VN,2021-07-20 03:30:36
211,Esterhazy,50.65,-102.0843,68.85,73,100,9.8,CA,2021-07-20 03:31:19
212,Anloga,5.7947,0.8973,77.22,85,77,13.09,GH,2021-07-20 03:31:19
213,Zunyi,27.6867,106.9072,80.74,71,33,4.32,CN,2021-07-20 03:31:20
214,Jalu,29.0331,21.5482,75.18,59,0,8.1,LY,2021-07-20 03:31:21
215,Ponta Delgada,37.7333,-25.6667,70.52,88,20,12.66,PT,2021-07-20 03:31:21
216,Ust-Maya,60.4167,134.5333,86.67,38,79,6.8,RU,2021-07-20 03:31:21
217,Sao Filipe,14.8961,-24.4956,74.03,86,60,7.49,CV,2021-07-20 03:31:22
218,Sarkand,45.41,79.9186,88.7,16,3,7.2,KZ,2021-07-20 03:31:22
219,High Level,58.5169,-117.136,68.11,73,75,4.61,CA,2021-07-20 03:31:23
220,Mpika,-11.8343,31.4529,48.16,80,0,5.7,ZM,2021-07-20 03:31:23
221,Talnakh,69.4865,88.3972,60.06,47,9,8.75,RU,2021-07-20 03:31:24
222,Kailua,21.4022,-157.7394,87.78,65,20,13.8,US,2021-07-20 03:31:24
223,Alta Floresta,-9.8756,-56.0861,68.95,56,15,3.89,BR,2021-07-20 03:31:24
224,Taltal,-25.4,-70.4833,60.71,63,17,4.68,CL,2021-07-20 03:30:20
225,Tarakan,3.3,117.6333,87.3,70,40,4.61,ID,2021-07-20 03:31:25
226,Omsukchan,62.5333,155.8,70.66,27,49,5.59,RU,2021-07-20 03:31:26
227,Roebourne,-20.7833,117.1333,82.02,27,74,7.65,AU,2021-07-20 03:31:26
228,Bredasdorp,-34.5322,20.0403,49.32,93,100,3.44,ZA,2021-07-20 03:31:26
229,Northam,51.0333,-4.2167,67.71,95,0,2.73,GB,2021-07-20 03:31:27
230,Nioro,13.35,-15.75,79.47,83,74,4.0,GM,2021-07-20 03:31:27
231,Acapulco,16.8634,-99.8901,81.37,79,17,4.16,MX,2021-07-20 03:30:00
232,Palmer,42.1584,-72.3287,69.4,87,20,0.0,US,2021-07-20 03:31:28
233,Soyo,-6.1349,12.3689,69.58,90,7,5.46,AO,2021-07-20 03:31:28
234,Mayumba,-3.432,10.6554,69.89,91,13,2.89,GA,2021-07-20 03:31:29
235,Montmagny,48.9734,2.3469,67.37,84,0,4.61,FR,2021-07-20 03:29:32
236,Lulea,65.5842,22.1547,50.07,66,22,8.05,SE,2021-07-20 03:31:29
237,Santiago Del Estero,-27.7951,-64.2615,45.81,32,0,7.43,AR,2021-07-20 03:31:30
238,The Valley,18.217,-63.0578,82.26,75,31,18.59,AI,2021-07-20 03:29:27
239,Galle,6.0367,80.217,82.71,77,100,15.1,LK,2021-07-20 03:31:30
240,Magaria,12.9983,8.9099,79.88,66,10,10.02,NE,2021-07-20 03:31:31
241,Tautira,-17.7333,-149.15,82.42,82,100,21.7,PF,2021-07-20 03:31:34
242,Lukulu,-14.3707,23.242,47.82,63,25,5.28,ZM,2021-07-20 03:31:35
243,Geraldton,-28.7667,114.6,57.61,88,90,27.63,AU,2021-07-20 03:31:35
244,Marsabit,2.3284,37.9899,59.56,74,89,14.61,KE,2021-07-20 03:31:36
245,Irgakly,44.3611,44.7556,83.53,37,0,1.63,RU,2021-07-20 03:31:36
246,Novoagansk,61.9449,76.6625,69.96,60,29,5.91,RU,2021-07-20 03:31:36
247,Gidam,18.9833,81.4,81.77,78,100,9.53,IN,2021-07-20 03:31:37
248,Provideniya,64.3833,-173.3,48.31,81,90,8.95,RU,2021-07-20 03:31:37
249,Teguldet,57.3064,88.1667,71.87,50,17,2.62,RU,2021-07-20 03:31:38
250,Cooma,-36.2333,149.1333,49.77,53,40,19.57,AU,2021-07-20 03:31:38
251,Poum,-20.2333,164.0167,72.05,83,26,3.67,NC,2021-07-20 03:31:39
252,Avera,33.194,-82.5271,77.72,91,100,2.53,US,2021-07-20 03:31:40
253,Vanimo,-2.6741,141.3028,82.44,77,99,1.74,PG,2021-07-20 03:31:41
254,Monrovia,6.3005,-10.7969,76.66,84,99,13.02,LR,2021-07-20 03:31:41
255,Terrell,32.736,-96.2753,77.83,95,1,4.61,US,2021-07-20 03:31:41
256,North Bend,43.4065,-124.2243,60.71,86,20,10.36,US,2021-07-20 03:31:42
257,Udachnyy,66.4167,112.4,69.84,48,6,4.16,RU,2021-07-20 03:31:42
258,Nagato,34.3833,131.2,84.11,63,85,4.47,JP,2021-07-20 03:31:43
259,Tam Ky,15.5667,108.4833,94.98,50,100,12.1,VN,2021-07-20 03:31:43
260,Naron,43.5167,-8.1528,66.04,93,79,3.51,ES,2021-07-20 03:31:43
261,Villazon,-22.0866,-65.5942,43.9,45,94,1.32,BO,2021-07-20 03:31:44
262,Gamba,-2.65,10.0,69.84,92,3,4.18,GA,2021-07-20 03:31:44
263,Fort Saint James,54.4333,-124.25,61.57,73,65,3.89,CA,2021-07-20 03:31:45
264,Pangnirtung,66.1451,-65.7125,40.08,98,100,4.12,CA,2021-07-20 03:31:45
265,Lagos,6.5833,3.75,79.12,93,98,6.2,NG,2021-07-20 03:31:46
266,Xiashi,30.5363,120.6864,92.98,72,38,15.43,CN,2021-07-20 03:31:46
267,Uvalde,29.3669,-99.767,77.18,72,1,9.22,US,2021-07-20 03:31:46
268,Ilulissat,69.2167,-51.1,42.82,87,75,9.22,GL,2021-07-20 03:31:47
269,Awbari,26.5921,12.7805,79.23,32,68,9.51,LY,2021-07-20 03:31:47
270,Harrison,30.4091,-89.0436,78.87,92,1,0.0,US,2021-07-20 03:31:47
271,Qaanaaq,77.484,-69.3632,37.83,78,99,2.44,GL,2021-07-20 03:31:48
272,Kahului,20.8947,-156.47,84.22,71,40,28.77,US,2021-07-20 03:31:48
273,Nemuro,43.3236,145.575,86.43,94,91,7.38,JP,2021-07-20 03:31:49
274,Tual,-5.6667,132.75,80.46,82,54,17.96,ID,2021-07-20 03:31:49
275,Adrar,20.5022,-10.0711,90.64,12,33,8.1,MR,2021-07-20 03:31:50
276,Rize,40.9044,40.8949,70.59,47,0,1.12,TR,2021-07-20 03:31:50
277,La Ronge,55.1001,-105.2842,61.02,77,1,1.14,CA,2021-07-20 03:31:50
278,Axim,4.8699,-2.2405,75.63,81,97,9.06,GH,2021-07-20 03:31:51
279,Concordia,-31.393,-58.0209,42.22,70,0,5.19,AR,2021-07-20 03:29:00
280,Ponta Do Sol,32.6667,-17.1,71.71,77,4,4.41,PT,2021-07-20 03:31:52
281,Salinopolis,-0.6136,-47.3561,77.54,85,19,7.0,BR,2021-07-20 03:31:52
282,Madera,37.1666,-119.8343,95.09,23,0,5.44,US,2021-07-20 03:31:53
283,Hirara,24.8,125.2833,89.87,66,40,19.57,JP,2021-07-20 03:31:53
284,Torbay,47.6666,-52.7314,63.75,86,90,4.61,CA,2021-07-20 03:31:54
285,San Luis,-33.295,-66.3356,47.66,30,0,14.14,AR,2021-07-20 03:31:34
286,Umm Kaddadah,13.6017,26.6876,79.68,61,48,13.71,SD,2021-07-20 03:31:55
287,Chokurdakh,70.6333,147.9167,51.51,82,100,10.6,RU,2021-07-20 03:31:55
288,Amilly,47.9728,2.7719,61.54,89,4,6.89,FR,2021-07-20 03:30:16
289,Cienfuegos,22.1461,-80.4356,79.61,83,26,4.61,CU,2021-07-20 03:31:56
290,Port Blair,11.6667,92.75,82.22,84,100,18.54,IN,2021-07-20 03:31:56
291,Bouloupari,-21.8667,166.05,75.94,69,56,4.45,NC,2021-07-20 03:31:57
292,Soderhamn,61.3037,17.0592,55.98,71,100,9.15,SE,2021-07-20 03:31:58
293,Vredendal,-31.6683,18.5012,52.7,78,100,12.35,ZA,2021-07-20 03:31:58
294,Westport,41.1415,-73.3579,75.34,91,1,3.44,US,2021-07-20 03:29:48
